area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000370,37692,12502,1735,9732,1035
E05000371,79027,16310,3264,11726,1320
E05000372,79243,12950,2528,9136,1286
E05000373,95773,17514,3281,13045,1188
E05000374,67894,12432,2756,8479,1197
E05000375,79499,17284,2934,13050,1300
E05000376,32769,12629,2094,9153,1382
E05000377,61144,14143,2787,10291,1065
E05000378,22251,13107,2295,9531,1281
E05000379,106472,12904,1971,9716,1217
E05000380,118532,12988,2058,9661,1269
E05000381,130797,14046,2633,10173,1240
E05000400,3549,9639,2289,5757,1593
E05000401,4120,9708,1874,6334,1500
E05000402,4894,10726,2528,6716,1482
E05000403,5901,14568,3692,9707,1169
E05000404,2559,9175,2142,5598,1435
E05000405,3934,10493,2465,6487,1541
E05000406,5806,11534,2558,7266,1710
E05000407,6079,10192,2512,6236,1444
E05000408,4452,11834,1916,8748,1170
E05000409,3630,10572,2387,7188,997
E05000410,6314,9749,2168,5777,1804
E05000411,5599,9181,2008,5425,1748
E05000412,5239,12856,1690,10183,983
E05000413,5363,11159,2263,7358,1538
E05000414,3442,10294,2391,6521,1382
E05000415,3768,9929,2651,5838,1440
E05000416,119216,11621,1387,9225,1009
E05000417,159066,16749,2737,12946,1066
E05000418,122684,13085,2208,9834,1043
E05000419,36437,14563,2286,11164,1113
E05000420,174704,17096,3843,12120,1133
E05000421,145491,14447,2113,11373,961
E05000422,79119,14164,3666,9368,1130
E05000423,84710,16089,3262,11592,1235
E05000424,111132,15943,4163,10336,1444
E05000425,74917,17442,3140,13163,1139
E05000426,195937,15760,2264,12327,1169
E05000427,429545,15599,2818,11304,1477
E05000428,166264,16987,3337,12371,1279
E05000429,73735,15138,2904,11074,1160
E05000430,101678,15522,3033,11230,1259
E05000431,81185,15568,3384,10480,1704
E05000432,154076,16221,3255,11594,1372
E05000433,98481,13054,2854,9138,1062
E05000434,88412,14147,3306,9514,1327
E05000435,151404,16199,3656,11430,1113
E05000436,154515,15342,2802,11442,1098
E05000437,104308,15962,4437,9874,1651
E05000438,210681,14721,2930,10192,1599
E05000439,179504,18390,3218,14001,1171
E05000440,182232,15819,3817,10162,1840
E05000441,100382,15629,3432,10752,1445
E05000442,62339,15664,4237,9553,1874
E05000443,406700,18529,4550,12949,1030
E05000444,60640,15978,3837,10599,1542
E05000445,87226,15046,3515,9620,1911
E05000446,174140,14775,2872,10522,1381
E05000447,56766,16098,3428,10913,1757
E05000448,255864,19735,4075,14125,1535
E05000449,137537,16746,3693,12052,1001
E05000450,75674,16383,3699,11113,1571
E05000451,239900,15490,3730,10415,1345
E05000452,70741,16858,3873,11076,1909
E05000453,64855,17583,3657,12645,1281
E05000454,115824,15593,4332,9556,1705
E05000455,52239,10770,2037,7823,910
E05000456,24336,9370,1915,5889,1566
E05000457,41498,10910,1806,8082,1022
E05000458,14193,12235,3267,7612,1356
E05000459,43337,9512,2043,6513,956
E05000460,14609,11809,3081,7628,1100
E05000461,19566,10093,2046,6946,1101
E05000462,23961,9115,1601,6153,1361
E05000463,16502,10982,2578,7549,855
E05000464,40844,10726,2636,6923,1167
E05000465,9593,9136,2002,5556,1578
E05000466,32138,9710,2111,6028,1571
