area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000400,3750,9639,2289,5757,1593
E05000401,3622,9708,1874,6334,1500
E05000402,4990,10726,2528,6716,1482
E05000403,5679,14568,3692,9707,1169
E05000404,2576,9175,2142,5598,1435
E05000405,3911,10493,2465,6487,1541
E05000406,5205,11534,2558,7266,1710
E05000407,5916,10192,2512,6236,1444
E05000408,4217,11834,1916,8748,1170
E05000409,3312,10572,2387,7188,997
E05000410,5899,9749,2168,5777,1804
E05000411,6091,9181,2008,5425,1748
E05000412,4916,12856,1690,10183,983
E05000413,4502,11159,2263,7358,1538
E05000414,3245,10294,2391,6521,1382
E05000415,2860,9929,2651,5838,1440
E05000416,110991,11621,1387,9225,1009
E05000417,144329,16749,2737,12946,1066
E05000418,107613,13085,2208,9834,1043
E05000419,34869,14563,2286,11164,1113
E05000420,166034,17096,3843,12120,1133
E05000421,138230,14447,2113,11373,961
E05000422,72190,14164,3666,9368,1130
E05000423,79012,16089,3262,11592,1235
E05000424,104132,15943,4163,10336,1444
E05000425,71562,17442,3140,13163,1139
E05000426,182521,15760,2264,12327,1169
E05000427,397527,15599,2818,11304,1477
E05000428,156230,16987,3337,12371,1279
E05000429,70143,15138,2904,11074,1160
E05000430,98155,15522,3033,11230,1259
E05000431,76083,15568,3384,10480,1704
E05000432,144316,16221,3255,11594,1372
E05000433,92540,13054,2854,9138,1062
E05000434,79886,14147,3306,9514,1327
E05000435,140732,16199,3656,11430,1113
E05000436,144739,15342,2802,11442,1098
E05000437,100026,15962,4437,9874,1651
E05000438,191035,14721,2930,10192,1599
E05000439,167615,18390,3218,14001,1171
E05000440,162807,15819,3817,10162,1840
E05000441,90125,15629,3432,10752,1445
E05000442,58074,15664,4237,9553,1874
E05000443,375140,18529,4550,12949,1030
E05000444,54746,15978,3837,10599,1542
E05000445,82596,15046,3515,9620,1911
E05000446,154017,14775,2872,10522,1381
E05000447,51988,16098,3428,10913,1757
E05000448,235525,19735,4075,14125,1535
E05000449,125318,16746,3693,12052,1001
E05000450,71028,16383,3699,11113,1571
E05000451,222622,15490,3730,10415,1345
E05000452,67075,16858,3873,11076,1909
E05000453,58874,17583,3657,12645,1281
E05000454,105990,15593,4332,9556,1705
E05000455,48291,10770,2037,7823,910
E05000456,22633,9370,1915,5889,1566
E05000457,39822,10910,1806,8082,1022
E05000458,13319,12235,3267,7612,1356
E05000459,40961,9512,2043,6513,956
E05000460,14210,11809,3081,7628,1100
E05000461,19367,10093,2046,6946,1101
E05000462,22322,9115,1601,6153,1361
E05000463,14715,10982,2578,7549,855
E05000464,36889,10726,2636,6923,1167
E05000465,8598,9136,2002,5556,1578
E05000466,29649,9710,2111,6028,1571
E05000467,25057,11039,2932,6885,1222
E05000468,13526,10088,2414,6386,1288
E05000469,15321,9962,2179,6370,1413
E05000470,11907,10856,2687,6806,1363
